aircraft_id,aircraft_type,lessee_airline,lessee_region,list_price_usd_m,lease_rate_factor,annual_lease_revenue_usd,lease_yield_pct,annual_mr_reserve_usd,annual_depreciation_usd,annual_debt_service_usd,net_operating_income_usd
MSN60029,A321neo,Airline-ASI-24,Asia-Pacific,59.6,0.00751,5370708.0,9.01,801528.0,2026400.0,1877400.0,1466908.0
MSN60030,A321neo,Airline-EUR-18,Europe,60.9,0.00897,6556536.0,10.77,1104924.0,2070600.0,1918350.0,2567586.0
MSN60031,A350-900,Airline-EUR-10,Europe,143.1,0.00595,10216224.0,7.14,1247832.0,4865400.0,4507650.0,843174.0
MSN60032,B737 MAX 8,Airline-ASI-23,Asia-Pacific,46.4,0.00781,4346040.0,9.37,710556.0,1577600.0,1461600.0,1306840.0
MSN60033,B737 MAX 8,Airline-EUR-21,Europe,45.0,0.00637,3441564.0,7.65,632436.0,1530000.0,1417500.0,494064.0
MSN60034,B737 MAX 8,Airline-ASI-09,Asia-Pacific,45.8,0.00658,3615420.0,7.89,497076.0,1557200.0,1442700.0,615520.0
MSN60035,B787-9,Airline-EUR-03,Europe,117.7,0.00623,8793924.0,7.47,1355472.0,4001800.0,3707550.0,1084574.0
MSN60036,B787-9,Airline-LAT-12,Latin America,96.7,0.00773,8969808.0,9.28,1738416.0,3287800.0,3046050.0,2635958.0
MSN60037,A321neo,Airline-EUR-08,Europe,58.1,0.00612,4264704.0,7.34,690528.0,1975400.0,1830150.0,459154.0
MSN60038,A320neo,Airline-LAT-03,Latin America,62.2,0.00559,4168896.0,6.7,603432.0,2114800.0,1959300.0,94796.0
MSN60039,A350-900,Airline-ASI-08,Asia-Pacific,122.1,0.00556,8144088.0,6.67,1097676.0,4151400.0,3846150.0,146538.0
MSN60040,A320neo,Airline-ASI-04,Asia-Pacific,46.5,0.00801,4468680.0,9.61,544188.0,1581000.0,1464750.0,1422930.0
MSN60041,A321neo,Airline-NOR-13,North America,48.3,0.00848,4916808.0,10.18,970152.0,1642200.0,1521450.0,1753158.0
MSN60042,A320neo,Airline-MID-09,Middle East,56.2,0.00674,4545504.0,8.09,754488.0,1910800.0,1770300.0,864404.0
MSN60043,A321neo,Airline-ASI-04,Asia-Pacific,47.3,0.00767,4352136.0,9.2,648216.0,1608200.0,1489950.0,1253986.0
MSN60044,A320neo,Airline-NOR-01,North America,53.2,0.00747,4766844.0,8.96,613872.0,1808800.0,1675800.0,1282244.0
MSN60045,A320neo,Airline-NOR-03,North America,57.3,0.00737,5071020.0,8.85,971616.0,1948200.0,1804950.0,1317870.0
MSN60046,A350-900,Airline-NOR-16,North America,134.1,0.00707,11376288.0,8.48,2353380.0,4559400.0,4224150.0,2592738.0
MSN60047,B787-9,Airline-ASI-06,Asia-Pacific,109.9,0.00613,8089452.0,7.36,1236900.0,3736600.0,3461850.0,891002.0
MSN60048,A350-900,Airline-EUR-20,Europe,112.0,0.00715,9610596.0,8.58,1566384.0,3808000.0,3528000.0,2274596.0
MSN60049,B737 MAX 8,Airline-EUR-02,Europe,35.6,0.00803,3428628.0,9.63,739608.0,1210400.0,1121400.0,1096828.0
MSN60050,B737 MAX 8,Airline-MID-16,Middle East,57.0,0.00848,5797128.0,10.17,858732.0,1938000.0,1795500.0,2063628.0
MSN60051,A321neo,Airline-EUR-18,Europe,51.7,0.00734,4552440.0,8.81,722760.0,1757800.0,1628550.0,1166090.0
MSN60052,A320neo,Airline-LAT-10,Latin America,40.5,0.00764,3715128.0,9.17,598716.0,1377000.0,1275750.0,1062378.0
MSN60053,A321neo,Airline-EUR-20,Europe,44.0,0.00896,4730136.0,10.75,850728.0,1496000.0,1386000.0,1848136.0
MSN60054,B737 MAX 8,Airline-ASI-04,Asia-Pacific,44.4,0.00654,3484284.0,7.85,552696.0,1509600.0,1398600.0,576084.0
MSN60055,A320neo,Airline-EUR-19,Europe,34.6,0.00782,3245832.0,9.38,690804.0,1176400.0,1089900.0,979532.0
MSN60056,A320neo,Airline-NOR-18,North America,50.0,0.00751,4504812.0,9.01,892116.0,1700000.0,1575000.0,1229812.0
MSN60057,A350-900,Airline-NOR-03,North America,113.8,0.00722,9857748.0,8.66,1458096.0,3869200.0,3584700.0,2403848.0
MSN60058,A320neo,Airline-ASI-16,Asia-Pacific,45.6,0.0086,4707084.0,10.32,604116.0,1550400.0,1436400.0,1720284.0
MSN60059,B737 MAX 8,Airline-EUR-24,Europe,53.9,0.0078,5045976.0,9.36,1058268.0,1832600.0,1697850.0,1515526.0
MSN60060,B737 MAX 8,Airline-EUR-03,Europe,47.2,0.00773,4378296.0,9.28,854604.0,1604800.0,1486800.0,1286696.0
MSN60061,B787-9,Airline-LAT-09,Latin America,147.0,0.00638,11259432.0,7.66,1754868.0,4998000.0,4630500.0,1630932.0
MSN60062,A321neo,Airline-LAT-17,Latin America,51.4,0.00698,4307124.0,8.38,803124.0,1747600.0,1619100.0,940424.0
MSN60063,A321neo,Airline-LAT-17,Latin America,48.3,0.00808,4683888.0,9.7,645588.0,1642200.0,1521450.0,1520238.0
MSN60064,A350-900,Airline-ASI-09,Asia-Pacific,121.1,0.00788,11449368.0,9.45,1771296.0,4117400.0,3814650.0,3517318.0
MSN60065,A350-900,Airline-LAT-09,Latin America,133.8,0.00703,11283144.0,8.43,2155248.0,4549200.0,4214700.0,2519244.0
MSN60066,B737 MAX 8,Airline-ASI-09,Asia-Pacific,46.6,0.00741,4142172.0,8.89,725016.0,1584400.0,1467900.0,1089872.0
MSN60067,A350-900,Airline-NOR-05,North America,133.8,0.00728,11683356.0,8.73,2128080.0,4549200.0,4214700.0,2919456.0
MSN60068,B737 MAX 8,Airline-LAT-23,Latin America,40.7,0.00788,3847236.0,9.45,672768.0,1383800.0,1282050.0,1181386.0
MSN60069,B787-9,Airline-NOR-03,North America,112.7,0.00622,8418552.0,7.47,1367676.0,3831800.0,3550050.0,1036702.0
MSN60070,A321neo,Airline-EUR-21,Europe,49.4,0.00738,4373424.0,8.85,733260.0,1679600.0,1556100.0,1137724.0
MSN60071,B737 MAX 8,Airline-MID-16,Middle East,42.2,0.00944,4780152.0,11.33,903432.0,1434800.0,1329300.0,2016052.0
MSN60072,B787-9,Airline-EUR-10,Europe,124.1,0.00652,9712380.0,7.83,2124360.0,4219400.0,3909150.0,1583830.0
MSN60073,A321neo,Airline-LAT-08,Latin America,60.8,0.00744,5425248.0,8.92,773148.0,2067200.0,1915200.0,1442848.0
MSN60074,B737 MAX 8,Airline-EUR-17,Europe,38.8,0.00734,3417864.0,8.81,730836.0,1319200.0,1222200.0,876464.0
MSN60075,A321neo,Airline-LAT-24,Latin America,40.3,0.00807,3900912.0,9.68,589632.0,1370200.0,1269450.0,1261262.0
MSN60076,A321neo,Airline-ASI-10,Asia-Pacific,49.0,0.00713,4192716.0,8.56,720852.0,1666000.0,1543500.0,983216.0
MSN60077,A320neo,Airline-MID-05,Middle East,48.5,0.00757,4406676.0,9.09,659832.0,1649000.0,1527750.0,1229926.0
MSN60078,A320neo,Airline-ASI-23,Asia-Pacific,50.2,0.00812,4894020.0,9.75,1059360.0,1706800.0,1581300.0,1605920.0
MSN60079,A350-900,Airline-LAT-04,Latin America,122.9,0.00748,11030928.0,8.98,2084940.0,4178600.0,3871350.0,2980978.0
MSN60080,A321neo,Airline-ASI-14,Asia-Pacific,36.0,0.00662,2859720.0,7.94,435168.0,1224000.0,1134000.0,501720.0
MSN60081,B737 MAX 8,Airline-LAT-16,Latin America,54.9,0.00669,4404324.0,8.02,891360.0,1866600.0,1729350.0,808374.0
MSN60082,B737 MAX 8,Airline-NOR-01,North America,40.8,0.00794,3887808.0,9.53,696456.0,1387200.0,1285200.0,1215408.0
MSN60083,A321neo,Airline-MID-20,Middle East,49.8,0.00742,4433928.0,8.9,774408.0,1693200.0,1568700.0,1172028.0
MSN60084,A321neo,Airline-ASI-18,Asia-Pacific,52.6,0.00766,4834824.0,9.19,793668.0,1788400.0,1656900.0,1389524.0
MSN60085,A320neo,Airline-MID-11,Middle East,57.5,0.00689,4750848.0,8.26,777540.0,1955000.0,1811250.0,984598.0
MSN60086,A350-900,Airline-EUR-12,Europe,109.4,0.00613,8041392.0,7.35,1588452.0,3719600.0,3446100.0,875692.0
MSN60087,A350-900,Airline-NOR-04,North America,119.3,0.0062,8869680.0,7.43,1252320.0,4056200.0,3757950.0,1055530.0
MSN60088,B737 MAX 8,Airline-MID-11,Middle East,46.1,0.0085,4704756.0,10.21,631860.0,1567400.0,1452150.0,1685206.0
MSN60089,A350-900,Airline-EUR-17,Europe,94.5,0.00603,6839868.0,7.24,1272612.0,3213000.0,2976750.0,650118.0
MSN60090,B737 MAX 8,Airline-ASI-22,Asia-Pacific,42.0,0.00882,4445340.0,10.58,678864.0,1428000.0,1323000.0,1694340.0
MSN60091,B737 MAX 8,Airline-NOR-15,North America,40.0,0.007,3360408.0,8.4,480336.0,1360000.0,1260000.0,740408.0
MSN60092,A320neo,Airline-EUR-18,Europe,38.8,0.00617,2871852.0,7.4,403956.0,1319200.0,1222200.0,330452.0
MSN60093,A350-900,Airline-EUR-20,Europe,143.0,0.007,12004860.0,8.4,1542024.0,4862000.0,4504500.0,2638360.0
MSN60094,A321neo,Airline-ASI-17,Asia-Pacific,45.5,0.0069,3768036.0,8.28,606372.0,1547000.0,1433250.0,787786.0
MSN60095,A321neo,Airline-NOR-22,North America,60.8,0.00769,5613108.0,9.23,1047960.0,2067200.0,1915200.0,1630708.0
MSN60096,A321neo,Airline-LAT-02,Latin America,59.9,0.00647,4648548.0,7.76,936588.0,2036600.0,1886850.0,725098.0
MSN60097,B737 MAX 8,Airline-NOR-12,North America,32.9,0.00667,2634576.0,8.01,400080.0,1118600.0,1036350.0,479626.0
MSN60098,B737 MAX 8,Airline-EUR-16,Europe,49.0,0.00756,4447032.0,9.08,559248.0,1666000.0,1543500.0,1237532.0
MSN60099,B737 MAX 8,Airline-EUR-10,Europe,40.0,0.00797,3827724.0,9.57,543696.0,1360000.0,1260000.0,1207724.0
MSN60100,A321neo,Airline-NOR-12,North America,52.4,0.00628,3950076.0,7.54,523416.0,1781600.0,1650600.0,517876.0
MSN60101,A320neo,Airline-MID-08,Middle East,49.3,0.0069,4079256.0,8.27,654192.0,1676200.0,1552950.0,850106.0
MSN60102,A350-900,Airline-LAT-20,Latin America,106.1,0.00862,10972200.0,10.34,1350876.0,3607400.0,3342150.0,4022650.0
MSN60103,A321neo,Airline-ASI-18,Asia-Pacific,50.5,0.00924,5596944.0,11.08,1091040.0,1717000.0,1590750.0,2289194.0
MSN60104,A321neo,Airline-ASI-12,Asia-Pacific,54.1,0.0075,4867152.0,9.0,860292.0,1839400.0,1704150.0,1323602.0
MSN60105,A320neo,Airline-ASI-23,Asia-Pacific,45.6,0.00842,4607964.0,10.11,910488.0,1550400.0,1436400.0,1621164.0
MSN60106,A321neo,Airline-ASI-14,Asia-Pacific,27.9,0.00643,2154132.0,7.72,455328.0,948600.0,878850.0,326682.0
MSN60107,A320neo,Airline-EUR-17,Europe,38.5,0.00901,4163520.0,10.81,869412.0,1309000.0,1212750.0,1641770.0
MSN60108,A321neo,Airline-MID-12,Middle East,41.2,0.0074,3659244.0,8.88,546600.0,1400800.0,1297800.0,960644.0
MSN60109,B737 MAX 8,Airline-LAT-03,Latin America,44.1,0.00596,3152112.0,7.15,416028.0,1499400.0,1389150.0,263562.0
MSN60110,B787-9,Airline-ASI-04,Asia-Pacific,90.4,0.00684,7421364.0,8.21,1165956.0,3073600.0,2847600.0,1500164.0
MSN60111,B737 MAX 8,Airline-NOR-17,North America,61.1,0.00806,5912388.0,9.68,1219884.0,2077400.0,1924650.0,1910338.0
MSN60112,A320neo,Airline-ASI-12,Asia-Pacific,46.7,0.00695,3895212.0,8.34,809244.0,1587800.0,1471050.0,836362.0
MSN60113,B737 MAX 8,Airline-ASI-17,Asia-Pacific,58.4,0.00736,5158812.0,8.83,937716.0,1985600.0,1839600.0,1333612.0
MSN60114,B737 MAX 8,Airline-NOR-05,North America,45.3,0.00717,3899460.0,8.61,606132.0,1540200.0,1426950.0,932310.0
MSN60115,A350-900,Airline-EUR-02,Europe,93.1,0.00623,6963780.0,7.48,1241520.0,3165400.0,2932650.0,865730.0
MSN60116,B737 MAX 8,Airline-ASI-01,Asia-Pacific,38.4,0.007,3224280.0,8.4,465876.0,1305600.0,1209600.0,709080.0
MSN60117,B787-9,Airline-LAT-04,Latin America,89.0,0.00665,7099632.0,7.98,931860.0,3026000.0,2803500.0,1270132.0
MSN60118,A321neo,Airline-ASI-09,Asia-Pacific,37.4,0.007,3139428.0,8.39,383892.0,1271600.0,1178100.0,689728.0
MSN60119,A320neo,Airline-NOR-16,North America,51.5,0.00696,4300044.0,8.35,529872.0,1751000.0,1622250.0,926794.0
